level,pictureUrl,exerciseName,words,noiseLevel,noiseUrl
6,math,Математика /+средний шум/,(линия равно плюс минус умножение деление),0,20
7,math,Математика /+средний шум/,(пример линейка упражнение решать считать круг),0,20
8,math,Математика /+средний шум/,(математика сумма задача линейка сантиметр миллиметр),0,20
9,math,Математика /+средний шум/,(циркуль метр килограмм грамм дециметр тонна центнер),0,20
10,math,Математика /+средний шум/,(умножаю вычитаю делю сумма прибавляю час секунда минута сутки),0,20
1,math,Математика /+тяжелый шум/,(один три пять семь девять одиннадцать),0,40
2,math,Математика /+тяжелый шум/,(ноль два четыре шесть восемь десять),0,40
3,math,Математика /+тяжелый шум/,(двенадцать четырнадцать шестнадцать восемнадцать тысяча миллион),0,40
4,math,Математика /+тяжелый шум/,(тринадцать пятнадцать семнадцать девятнадцать двадцать тридцать),0,40
5,math,Математика /+тяжелый шум/,(пятьдесят сорок шестьдесят восемьдесят девяносто сто),0,40
6,math,Математика /+тяжелый шум/,(линия равно плюс минус умножение деление),0,40
7,math,Математика /+тяжелый шум/,(пример линейка упражнение решать считать круг),0,40
8,math,Математика /+тяжелый шум/,(математика сумма задача линейка сантиметр миллиметр),0,40
9,math,Математика /+тяжелый шум/,(циркуль метр килограмм грамм дециметр тонна центнер),0,40
10,math,Математика /+тяжелый шум/,(умножаю вычитаю делю сумма прибавляю час секунда минута сутки),0,40
1,pets,Домашние питомцы,(кот собака хомяк черепаха кролик попугай),0,
2,pets,Домашние питомцы,(лает мяукает чирикает прыгает бегает ползает),0,
3,pets,Домашние питомцы,(клетка миска корм поилка колесо аквариум),0,
4,pets,Домашние питомцы,(рыбки щенок котики лоток крысы хорек),0,
5,pets,Домашние питомцы,(поводок ошейник будка вольер хозяин команда),0,
6,pets,Домашние питомцы,(переноска ветеринар игрушка террариум овчарка лабрадор),0,
7,pets,Домашние питомцы,(любить ухаживать гладить мыть учить тренировать),0,
8,pets,Домашние питомцы,(петушок лапомойка котёнок мопс наполнитель шерсть),0,
9,pets,Домашние питомцы,(вычёсывать чистить подстригать купировать прививать ветеринар фильтр сетка шиншила),0,
10,pets,Домашние питомцы,(когтеточка домик болонка боксёр бигль лабрадор колли такса бульдог),0,
11,pets,Домашние питомцы,(короткошерстная длинношерстная стрижка грумер питомец выставка паспорт порода родословная),0,
1,pets,Домашние питомцы /+шум толпы/,(кот собака хомяк черепаха кролик попугай),50,crowd
2,pets,Домашние питомцы /+шум толпы/,(лает мяукает чирикает прыгает бегает ползает),50,crowd
3,pets,Домашние питомцы /+шум толпы/,(клетка миска корм поилка колесо аквариум),50,crowd
4,pets,Домашние питомцы /+шум толпы/,(рыбки щенок котики лоток крысы хорек),50,crowd
5,pets,Домашние питомцы /+шум толпы/,(поводок ошейник будка вольер хозяин команда),50,crowd
6,pets,Домашние питомцы /+шум толпы/,(переноска ветеринар игрушка террариум овчарка лабрадор),50,crowd
7,pets,Домашние питомцы /+шум толпы/,(любить ухаживать гладить мыть учить тренировать),50,crowd
8,pets,Домашние питомцы /+шум толпы/,(петушок лапомойка котёнок мопс наполнитель шерсть),50,crowd
